Table,Dataset,PaperName,Method,Published_Mean,Published_Std,Stored_Mean,Stored_Std,Source_File,Status
Table 2,AIDS,AIDS,PathBoost,99.33,0.09,,,,NOT TRACED
Table 2,AIDS,AIDS,GINE (GNN),96.66,0.15,96.66,0.15,paper_results/raw/GNN_Performance_20260225_190031.csv,traced
Table 2,AIDS,AIDS,Weisfeiler-Lehman subtree kernel,96.42,0.33,96.42,0.33,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,AIDS,AIDS,Graphlet kernel,99.04,0.09,99.03,0.09,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,AIDS,AIDS,Shortest-path kernel,99.02,0.11,99.02,0.11,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,BZR,BZR,PathBoost,86.76,0.55,,,,NOT TRACED
Table 2,BZR,BZR,GINE (GNN),82.51,1.37,,,,NOT TRACED
Table 2,BZR,BZR,Weisfeiler-Lehman subtree kernel,86.90,1.20,86.90,1.20,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,BZR,BZR,Graphlet kernel,82.30,0.91,82.30,0.91,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,BZR,BZR,Shortest-path kernel,82.30,0.91,82.30,0.91,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,DHFR,DHFR,PathBoost,78.19,0.76,,,,NOT TRACED
Table 2,DHFR,DHFR,GINE (GNN),80.03,1.08,,,,NOT TRACED
Table 2,DHFR,DHFR,Weisfeiler-Lehman subtree kernel,81.45,1.22,81.45,1.22,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,DHFR,DHFR,Graphlet kernel,74.52,0.72,74.52,0.72,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,DHFR,DHFR,Shortest-path kernel,74.43,0.90,74.43,0.90,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,MUTAG,MUTAG,PathBoost,89.11,1.08,,,,NOT TRACED
Table 2,MUTAG,MUTAG,GINE (GNN),82.83,2.18,,,,NOT TRACED
Table 2,MUTAG,MUTAG,Weisfeiler-Lehman subtree kernel,76.35,2.11,76.35,2.11,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,MUTAG,MUTAG,Graphlet kernel,85.32,0.82,85.32,0.82,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,MUTAG,MUTAG,Shortest-path kernel,85.32,0.82,85.32,0.82,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,PROTEINS_full,PROTEINS_full,PathBoost,79.00,0.51,,,,NOT TRACED
Table 2,PROTEINS_full,PROTEINS_full,GINE (GNN),71.50,1.21,,,,NOT TRACED
