Dataset,Metric,Mean,Std_Top10,Std_All100,Training_Time_Mean,Training_Time_Std
MUTAG,accuracy,0.822719,0.020311,0.101403,5.6860,1.8683
MUTAG,balanced_accuracy,0.822335,0.019505,0.109072,5.6860,1.8683
MUTAG,f1,0.857589,0.020661,0.087362,5.6860,1.8683
MUTAG,f1_macro,0.797334,0.020798,0.113018,5.6860,1.8683
MUTAG,recall,0.837158,0.040716,0.118869,5.6860,1.8683
MUTAG,roc_auc,0.904576,0.016088,0.083893,5.6860,1.8683
AIDS,accuracy,0.966550,0.001517,0.014332,44.8274,17.2454
AIDS,balanced_accuracy,0.943361,0.003049,0.026452,44.8274,17.2454
AIDS,f1,0.979074,0.001015,0.009155,44.8274,17.2454
AIDS,f1_macro,0.947030,0.002266,0.022298,44.8274,17.2454
AIDS,recall,0.982443,0.002868,0.012879,44.8274,17.2454
AIDS,roc_auc,0.980762,0.002368,0.015979,44.8274,17.2454
