Dataset;Graphs;AvgNodes;AvgEdges;NodeFeatures;EdgeFeatures;TotalFeatures;ClassPercentages;CatAttr;CatAttrClasses
AIDS;2000;15.69;16.20;5;1;6;0: 20.00%, 1: 80.00%;labels_0;38
BZR;405;35.75;38.36;4;0;4;-1: 78.77%, 1: 21.23%;labels_0;10
COX2;467;41.22;43.45;4;0;4;-1: 78.16%, 1: 21.84%;labels_0;8
COX2_MD;303;26.28;335.12;1;2;3;-1: 51.16%, 1: 48.84%;labels_0;7
DHFR;756;42.43;44.54;4;0;4;-1: 39.02%, 1: 60.98%;labels_0;9
ER_MD;446;21.33;234.85;1;2;3;-1: 59.42%, 1: 40.58%;labels_0;10
MCF-7;27770;26.40;28.53;1;1;2;0: 91.74%, 1: 8.26%;labels_0;46
MCF-7H;27770;47.31;49.44;1;1;2;0: 91.74%, 1: 8.26%;labels_0;47
MOLT-4;39765;26.10;28.14;1;1;2;0: 92.10%, 1: 7.90%;labels_0;64
MOLT-4H;39765;46.70;48.74;1;1;2;0: 92.10%, 1: 7.90%;labels_0;65
Mutagenicity;4337;30.32;30.77;1;1;2;0: 55.36%, 1: 44.64%;labels_0;14
MUTAG;188;17.93;19.79;1;1;2;-1: 33.51%, 1: 66.49%;labels_0;7
NCI1;4110;29.87;32.30;1;0;1;0: 49.95%, 1: 50.05%;;0
NCI109;4127;29.68;32.13;1;0;1;0: 49.62%, 1: 50.38%;;0
NCI-H23;40353;26.07;28.10;1;1;2;0: 94.90%, 1: 5.10%;labels_0;65
NCI-H23H;40353;46.67;48.70;1;1;2;0: 94.90%, 1: 5.10%;labels_0;66
OVCAR-8;40516;26.08;28.11;1;1;2;0: 94.87%, 1: 5.13%;labels_0;65
OVCAR-8H;40516;46.67;48.70;1;1;2;0: 94.87%, 1: 5.13%;labels_0;66
P388;41472;22.11;23.56;1;1;2;0: 94.46%, 1: 5.54%;labels_0;72
P388H;41472;40.45;41.89;1;1;2;0: 94.46%, 1: 5.54%;labels_0;73
PC-3;27509;26.36;28.49;1;1;2;0: 94.30%, 1: 5.70%;labels_0;45
PC-3H;27509;47.20;49.33;1;1;2;0: 94.30%, 1: 5.70%;labels_0;46
