Dataset,Graphs,AvgNodes,AvgEdges,NodeFeatures,EdgeFeatures,TotalFeatures,ClassPercentages,CatAttrClasses,PathBoostAccuracy_times 100,PathBoostAccuracy,PathBoostStd10,PathBoostStd100,GNNAccuracy,GNNStd10,GNNStd100,KernelAccuracy,source_file,source_file_dup,PathBoostAccuracy_times_100,Weisfeiler-Lehman subtree kernel_accuracy,Weisfeiler-Lehman subtree kernel_std_10,Weisfeiler-Lehman subtree kernel_std_100,Weisfeiler-Lehman subtree kernel linear_accuracy,Weisfeiler-Lehman subtree kernel linear_std_10,Weisfeiler-Lehman subtree kernel linear_std_100,Graphlet kernel_accuracy,Graphlet kernel_std_10,Graphlet kernel_std_100,Graphlet kernel linear_accuracy,Graphlet kernel linear_std_10,Graphlet kernel linear_std_100,Shortest-path kernel_accuracy,Shortest-path kernel_std_10,Shortest-path kernel_std_100,Shortest-path kernel linear_accuracy,Shortest-path kernel linear_std_10,Shortest-path kernel linear_std_100,Weisfeiler-Lehman optimal assignment kernel_accuracy,Weisfeiler-Lehman optimal assignment kernel_std_10,Weisfeiler-Lehman optimal assignment kernel_std_100,GNN_accuracy,GNN_accuracy_std10,GNN_accuracy_std100,GNN_balanced_accuracy,GNN_balanced_accuracy_std10,GNN_balanced_accuracy_std100,GNN_f1,GNN_f1_macro,GNN_f1_macro_std10,GNN_f1_macro_std100,GNN_f1_std10,GNN_f1_std100,GNN_recall,GNN_recall_std10,GNN_recall_std100,GNN_roc_auc,GNN_roc_auc_std10,GNN_roc_auc_std100,PB_accuracy,PB_accuracy_std10,PB_accuracy_std100,PB_balanced_accuracy,PB_balanced_accuracy_std10,PB_balanced_accuracy_std100,PB_f1,PB_f1_macro,PB_f1_macro_std10,PB_f1_macro_std100,PB_f1_std10,PB_f1_std100,PB_recall,PB_recall_std10,PB_recall_std100,ClassPercentages,fist_class_percentage,n_graphs_firs_class
AIDS,2000,15.69,16.2,5,1,6,"0: 20.00%, 1: 80.00%",38,99.17,0.9933,0.0009,0.004960847,-1,-1,-1,-1,combined_dataset_summary_4d7f1ce9.csv,kernel_baseline_results.csv,99.33,96.425,0.326534837,1.355313617,96.595,0.356686137,1.553536289,99.035,0.089582364,0.66428533,99.035,0.109658561,0.668038173,99.015,0.107354553,0.68357516,99.075,0.064226163,0.625999201,-1,-1,-1,,,,,,,,,,,,,,,,,,,0.9917,0.000823273,0.00582662,,0.000795783,0.013258857,0.994808801,0.986875046,0.001240386,0.009280735,0.000529565,0.003650502,0.998113733,0.001189355,0.003747205,"0: 20.00%, 1: 80.00%",20,400
BZR,405,35.75,38.36,4,0,4,"-1: 78.77%, 1: 21.23%",10,86.76463415,0.867646341,0.005525628,0.053043441,82.51158537,1.374789611,6.837835953,-1,combined_dataset_summary_7a12d3fe.csv,kernel_baseline_results.csv,86.76463415,86.90182927,1.198155837,5.585616773,86.92073171,1.296356377,5.014268012,82.29756098,0.909280265,5.795261814,81.99512195,0.390841768,5.453490824,82.29756098,0.909280265,5.795261814,81.99512195,0.390841768,5.453490824,-1,-1,-1,0.821481707,0.01688304,0.067662912,0.688180956,0.024819267,0.105973235,0.497550496,0.692873805,0.023177152,0.113228155,0.04136543,0.202417952,0.457998557,0.061086014,0.212600174,0.8214542,0.017651161,0.100357938,0.845640244,0.00706933,0.058672402,0.685639631,0.014941385,0.088082879,0.509565588,0.708141841,0.018082464,0.098681833,0.033343517,0.175372432,0.405788656,0.030250132,0.173193622,"-1: 78.77%, 1: 21.23%",78.77,86
COX2_MD,,,,,,,,,0,,,,,,,,,kernel_baseline_results.csv,,58.49784946,2.796559214,9.896731844,59.28817204,2.046950361,9.22114051,-1,-1,-1,64.39032258,1.100563242,8.148012986,-1,-1,-1,64.39032258,1.100563242,8.148012986,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
DBLP_v1,19456,10.48,19.65,1,1,2,"0: 48.98%, 1: 51.02%",0,-100,-1,-1,-1,-1,-1,-1,-1,combined_dataset_summary_c3a7ac84.csv,kernel_baseline_results.csv,-100,-1,-1,-1,93.04532004,0.077292808,0.532776572,66.23750149,0.572036863,2.575746126,70.09145383,0.332841068,1.3810355,67.04138633,0.691090751,2.76686277,69.82167177,0.29877059,1.370051578,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: 48.98%, 1: 51.02%",,19456
DD,1178,284.32,715.66,1,0,1,"1: 58.66%, 2: 41.34%",0,-100,-1,-1,-1,-1,-1,-1,-1,,kernel_baseline_results.csv,-100,77.97196871,0.418482255,4.117439932,78.06308851,0.622695136,3.848564485,76.51912212,0.824395835,3.671778868,70.87490946,0.724708173,4.206589898,76.50854701,0.849511105,3.894204873,71.00130378,0.580907954,3.849970446,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: 58.66%, 2: 41.34%",,1178
DHFR,756,42.43,44.54,4,0,4,"-1: 39.02%, 1: 60.98%",9,78.19,0.7819,0.007612685,0.043446121,80.03157895,1.084792043,4.800135296,-1,combined_dataset_summary_43c9eacc.csv,kernel_baseline_results.csv,78.19,81.45192982,1.220095965,5.030256941,81.30877193,1.443748583,4.155026029,74.52052632,0.71559511,4.755855962,72.89894737,0.477022802,4.817090944,74.4322807,0.896295581,5.612604818,72.89894737,0.477022802,4.817090944,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1: 39.02%, 1: 60.98%",39.02,461
ER_MD,,,,,,,,,0,,,,,,,,,kernel_baseline_results.csv,,65.09848485,2.072042252,7.064775199,66.5459596,1.038186442,6.749194176,-1,-1,-1,70.13181818,0.858890172,7.219576032,-1,-1,-1,70.22626263,1.610458371,6.973127102,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
KKI,83,26.96,48.42,1,0,1,"-1: 44.58%, 1: 55.42%",190,-100,-1,-1,-1,-1,-1,-1,-1,,kernel_baseline_results.csv,-100,51.79166667,3.91136856,17.3275175,54.27777778,3.161545567,15.66144515,48.91666667,4.73397231,18.52548711,41.93055556,4.276988564,18.18828882,47.73611111,3.263770683,16.68708818,39.91666667,1.844871102,14.98149579,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1: 44.58%, 1: 55.42%",,83
MCF-7,27770,26.4,28.53,1,1,2,"0: 91.74%, 1: 8.26%",46,92.23658624,0.922365862,0.00061057,0.005926278,-1,-1,-1,-1,combined_dataset_summary_938634be.csv,kernel_baseline_results.csv,92.23658624,-1,-1,-1,-1,-1,-1,-1,-1,-1,91.72740367,0.011839598,0.492926739,-1,-1,-1,91.72560317,0.018062566,0.471761772,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: 91.74%, 1: 8.26%",91.74,2294
MCF-7H,27770,47.31,49.44,1,1,2,"0: 91.74%, 1: 8.26%",47,92.2401873,0.922401873,0.000281915,0.006023809,-1,-1,-1,-1,combined_dataset_summary_938634be.csv,kernel_baseline_results.csv,92.2401873,-1,-1,-1,94.38170688,0.07010045,0.427201016,-1,-1,-1,91.76269355,0.009959897,0.468363007,-1,-1,-1,91.74468851,0.014336355,0.450640685,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: 91.74%, 1: 8.26%",91.74,2294
