Dataset,PaperName,Graphs_paper,Graphs_recomputed,AvgNodes,AvgEdges,NodeFeat,EdgeFeat,TotalFeat,ClassPercentages,CatAttrClasses
AIDS,AIDS,2000,2000,15.69,16.20,5,1,6,"0: 20.00%, 1: 80.00%",38
BZR,BZR,405,405,35.75,38.36,4,0,4,"-1: 78.77%, 1: 21.23%",10
DHFR,DHFR,756,756,42.43,44.54,4,0,4,"-1: 39.02%, 1: 60.98%",9
MUTAG,MUTAG,188,188,17.93,19.79,1,1,2,"-1: 33.51%, 1: 66.49%",7
PROTEINS_full,PROTEINS_full,1113,1113,39.06,72.82,30,0,30,"1: 59.57%, 2: 40.43%",3
PTC_FM,PTC_FM,349,349,14.11,14.48,1,1,2,"-1: 59.03%, 1: 40.97%",18
SYNTHETIC,SYNTHETIC,300,300,100.00,196.00,2,0,2,"0: 50.00%, 1: 50.00%",8
Tox21_ARE_evaluation,Tox21_ARE_eval,970,552,17.01,17.33,1,1,2,"0: 83.51%, 1: 16.49%",25
Tox21_ARE_testing,Tox21_ARE_test,234,234,21.99,22.91,1,1,2,"0: 79.49%, 1: 20.51%",15
Tox21_ARE_training,Tox21_ARE_train,5670,7167,16.28,16.52,1,1,2,"0: 84.68%, 1: 15.32%",46
Tox21_MMP_testing,Tox21_MMP_test,238,238,21.68,22.55,1,1,2,"0: 84.03%, 1: 15.97%",15
Tox21_MMP_training,Tox21_MMP_train,5418,7320,17.49,17.83,1,1,2,"0: 84.40%, 1: 15.60%",48
